draw_index,source_hbm_draw_index,logic_package_equivalents,customer_allocated_hbm_stacks,hbm_package_equivalents,package_assembly_start_capacity,package_attempts,package_assembly_yield,finished_accelerator_packages,complete_system_equivalents
168,9536,358673.36232403584,2021405.4609714856,252675.6826214357,397724.8986195784,252675.6826214357,0.9213432235065326,232801.02792814714,3233.3476101131546
169,6688,345629.3041370873,2221182.354881835,277647.7943602294,397363.2058541577,277647.7943602294,0.9211814695844426,255764.00323563523,3552.277822717156
170,17808,371332.65707758535,2414647.4344910188,301830.92931137735,440311.42567946366,301830.92931137735,0.9403884973928401,283838.33408181067,3942.1990844695924
171,3873,383890.00128782203,2412897.2682782537,301612.1585347817,497601.38278558,301612.1585347817,0.9618485865476543,290105.2283722668,4029.23928294815
172,8561,518972.1888378264,2311182.2255378603,288897.77819223254,489626.1810718915,288897.77819223254,0.9590858956339104,277077.78434414417,3848.302560335336
173,8510,515399.79147404054,1999551.4544011024,249943.9318001378,501256.7072307985,249943.9318001378,0.9631148280791076,240724.7069051059,3343.39870701536
174,17131,409274.1377009619,2241094.3499719272,280136.7937464909,435984.26816469064,280136.7937464909,0.9384533337223638,262895.30798968865,3651.323722079009
175,11188,553438.969353334,2108357.0754751572,263544.63443439465,530545.4086272555,263544.63443439465,0.973260731860383,256497.64378749602,3562.467274826334
176,19651,418075.3069286857,2426601.880918429,303325.2351148036,498098.8807310479,303325.2351148036,0.9620209248912965,291805.2232280133,4052.850322611296
177,12716,474818.9617931095,2417807.9413724816,302225.9926715602,450005.7005138125,302225.9926715602,0.9447239087519564,285520.1211231165,3965.5572378210627
178,3344,497719.1850397083,2152827.5997871873,269103.4499733984,494847.4759509351,269103.4499733984,0.960894605236271,258580.05332990727,3591.3896295820455
179,7158,409828.30241179804,2628002.167206205,328500.2709007756,463373.2041491332,328500.2709007756,0.9499915957749144,312072.49656551954,4334.34023007666
180,17130,413491.81234074425,2324865.1502093556,290608.14377616945,507193.43922417064,290608.14377616945,0.9651713723677957,280486.6609497032,3895.6480687458775
181,17653,385850.437028712,2042134.0852666856,255266.7606583357,465481.5617859408,255266.7606583357,0.9507219541673757,242687.7135270687,3370.6626878759544
182,12524,388468.42468598014,2062420.1973539146,257802.52466923933,395792.71675416053,257802.52466923933,0.9204791255073392,237301.84246112566,3295.8589230711896
183,3061,507107.2799735159,2510482.230253632,313810.278781704,398781.9811946572,313810.278781704,0.921815965205674,289275.32502661814,4017.7128475919185
184,14430,289916.51114253525,2188021.368543448,273502.671067931,440300.9683533623,273502.671067931,0.940383820734435,257197.48679993438,3572.187316665755
185,4491,392845.26976035204,2447524.047766522,305940.50597081525,463947.97200047766,305940.50597081525,0.9501907030820975,290701.8244697016,4037.525339856967
186,9155,342860.3625908636,2686482.667264333,335810.3334080416,434357.6214596598,335810.3334080416,0.9377258752007989,314898.0387965279,4373.583872173998
187,1152,555302.848750332,2086156.804640128,260769.600580016,502111.2653482888,260769.600580016,0.9634108556946104,251228.26403393497,3489.2814449157636
188,14341,285001.58663467056,2525682.581298377,315710.3226622971,502599.2996462797,285001.58663467056,0.9635799157346017,274621.8048336636,3814.191733800884
189,13504,488563.5400696278,1836712.104893935,229589.01311174186,413890.7596888429,229589.01311174186,0.9285728163596713,213190.11651040762,2960.973840422328
